Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,31.3042701298034
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,22.7134619101122
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,61.5740740740741
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,70.8847144857495
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,17.6959440658721
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,74.5822784810127
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,24.1697272878614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.4422065446306
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,35.6884057971014
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,76.485960757711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,13.0947573353039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,36.620169203368
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,65.0945839929757
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,82.1741393266002
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,59.6504233120628
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,50.6492722737967
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,33.9390638133457
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,40.5701201211722
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,37.1543108714404
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,14.122919190471
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,57.946040538108
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,63.9343433467531
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,27.6161121175574
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,5.17203683849953
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,50.6492920155385
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,61.0912965228197
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,31.9085326228511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,69.4537434442607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,36.7422534363826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,27.8341315902569
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,18.4099923154801
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,15.8680386541241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,12.7734606325226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,25.756238701931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,73.7922877464661
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,34.3253215593308
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,23.7762775609114
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,50.7474737516561
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,12.2133271454538
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,75.5938487630194
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,73.8944533212857
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,58.9993349662817
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,166.717746372109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,23.0692820412923
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,23.0483673045907
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,17.5006106612052
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.6758407921281
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,51.130748168145
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,74.0465861275791
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,7.9399766087609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,55.7295011283783
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,48.1316417074214
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,39.8816770341711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,31.5920554143668
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,20.1751427250809
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,18.8413979684695
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,54.8184931411381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,46.6242388472224
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,37.4495994213844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,40.13215610917
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,41.0838040299643
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,22.0458830923947
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,17.649123759796
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,30.1190304146871
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,20.2879496621221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,11.714118839635
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,39.9185126725089
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,177.656201062765
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,81.7759334458363
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,44.3025690531298
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,18.6909827074089
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,18.5915277970883
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,22.7097375837182
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,127.927930234974
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,29.5134384738678
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,31.602678297603
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,17.4453778322738
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.3350305916633
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,11.4279966637126
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,53.2934327933402
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,35.2341542041409
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,59.8369731520854
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,20.6977589568566
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,45.8781779807577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,42.8351172865323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,77.3147779558153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,205.482077538516
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,82.522613516486
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,28.2496571799428
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,65.2596631847293
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,69.4468308504879
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,25.705291132007
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,146.079187783961
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,37.8727415015815
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,39.1847599060827
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,38.4703384217688
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,38.8092813307908
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,31.443993517837
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,30.5647279928666
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,59.2172331810747
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,43.8466414367843
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,39.3169362407899
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,32.2683615161921
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,30.3897507155071
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,36.361647216528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nauru,NRU,63.6746987951807
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nepal,NPL,7.77993647448059
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,82.5377127008628
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Caledonia,NCL,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.318831856331
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nicaragua,NIC,45.0927803423597
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,11.4217334486184
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,14.2209267912443
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Northern Mariana Islands,MNP,42.0473773265651
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,36.2631065552701
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Oman,OMN,49.492016987897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pakistan,PAK,9.39086337877951
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Panama,PAN,41.2079933408761
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Papua New Guinea,PNG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,36.1824407198263
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,28.3829200126393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,55.3958465881068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,43.5084218458323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,52.3472678757627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,40.3832221627516
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,21.8106396758073
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,37.7233401953039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,163.997236624232
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,35.5716944892767
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,24.987932777281
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,51.0109231509171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,91.3759985106959
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,18.2469360788965
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,175.2741156679
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,92.2647855909969
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,83.9634681741247
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,37.6415997818125
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Somalia,SOM,17.4626651988798
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,27.3421804922648
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Sudan,SSD,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,34.954655951783
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,23.1532991387179
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Kitts and Nevis,KNA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Lucia,LCA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Martin (French part),MAF,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Vincent and the Grenadines,VCT,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sudan,SDN,0.630574147276582
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Suriname,SUR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,45.9463234267395
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,47.8092109523511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,65.5317042793177
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Syrian Arab Republic,SYR,12.6938729291338
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tajikistan,TJK,14.9799392742745
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tanzania,TZA,16.0078638814482
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Thailand,THA,59.5074853435664
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Timor-Leste,TLS,27.7395725648468
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Togo,TGO,23.0615819514862
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tonga,TON,21.9592715892613
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Trinidad and Tobago,TTO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tunisia,TUN,46.0968653531128
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkiye,TUR,32.5973545785751
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turks and Caicos Islands,TCA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tuvalu,TUV,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uganda,UGA,17.1090580169176
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ukraine,UKR,41.2316912560049
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Arab Emirates,ARE,96.8435334637251
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,31.0049780892243
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,11.7895354311111
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,27.750190305701
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,28.4213918592574
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vanuatu,VUT,50.3452768729642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Venezuela, RB",VEN,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vietnam,VNM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Virgin Islands (U.S.),VIR,55.0157881952878
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,West Bank and Gaza,PSE,15.5210552426533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Yemen, Rep.",YEM,7.13539537748867
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,31.2510404125177
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
